URL,Label,length_cat
http://amsredfern.org.au/t76f3g,malicious,short
https://www.montreal-news.com/,benign,short
https://www.ask.com/faqcentral/VOX_TV.html,benign,short
https://www.insurancenewsnet.org/html/HealthInsurance/2009/1206/WELLCARE-appoints-Thomas-F--O-Neil-III--as-Vice-President--and-Timothy-S--Susanin-as-Senior-Vice-President--General-Counsel-and-Secretary.html,benign,long
https://www.slamonline.com/online/nba/2011/10/former-nbaer-isaiah-rider-arrested-for-probation-violation/,benign,long
https://www.allhighschools.com/school/richard-c-lee-high-school/170423,benign,medium
http://www.be-werber.de/index.php?option=com_k2&view=itemlist&task=category&id=11:web-trends&Itemid=56,malicious,long
https://www.facebook.com/pages/Cirque-%C3%89loize/103104329729257,benign,medium
http://royalfarm-eg.com/index.php?option=com_k2&view=itemlist&task=tag&tag=Mission&Itemid=252,malicious,medium
https://www.christopherhyland.com/,benign,short
http://www.magramoto.it/component/virtuemart/details/29/7/accessori/index.html,malicious,medium
http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4.srv-woa1.co.uk/identify-customer=RhqaQlBugMrazIwxqxN37GyGtR4kVq5ngLTSmN7FqrSNRnIk1fhqaRa0NSpqXenBLTW8ObsRgzzqAWmQb8zA9sYQaBxpqolV1I23/,malicious,long
https://www.jhnewsandguide.com/article.php?art_id=5511,benign,medium
https://www.sbnation.com/ncaa-football/players/36175/cordy-glenn,benign,medium
http://novmet.ru/portfolio/2011-03-15-01-08-09/2011-04-02-13-21-33/2011-04-07-01-38-23,malicious,medium
https://www.stoneriverwealthmanagement.com/,benign,short
http://www.imoconcept.de/index.php?view=properties&id=75:wohnen-ganz-nah-im-gruenen-in-dortmund-luetgendortmund&option=com_jea&Itemid=54,malicious,long
http://problem-page.in/hokikausayangpial/log.php,malicious,short
https://www.barnone.com.au/welcome.html,benign,short
http://5121188.com/yiyuanxiangguan/yuannaxinwen/20141020/270.html,malicious,medium
https://www.so-siso.com/wp-admin/css/colors/blue/11010101000099992/.ID-99002030/,malicious,medium
http://www.feuerbestattung.lu/index.php/fr/accueil-pompes-funebres-brandenburger/37-pompes-funebres-brandenburger/73-pompes-funebres-brandenburger,malicious,long
https://www.macewangardens.com/,benign,short
https://www.youtube.com/watch?v=MTjAJe0tZjw,benign,short
https://www.milkplus.blogspot.com/,benign,short
http://spectrumclub.net/index.php?view=article&catid=1:latest-news&id=6:we-are-volunteers&tmpl=component&print=1&layout=default&page=,malicious,long
https://www.insound.com/The-Rondelles/A/27476/,benign,short
https://www.famous-relationships.topsynergy.com/Jessica_Mitford/,benign,medium
https://www.amazon.co.uk/Ladies-Canyon-Joni-Mitchell/dp/B000002KOQ,benign,medium
https://www.yelp.com/biz/pioneer-services-sunnyvale,benign,medium
https://www.metacritic.com/music/my-beautiful-dark-twisted-fantasy/critic-reviews,benign,medium
http://docs.google.com/forms/d/e/1FAIpQLSfE9kshYBFSDAfRclW8m9rAdajqoYhzhEYmEAgZexE3LQ-17A/formResponse,malicious,long
